C/2013 PE67	Catalina (CSS)–Spacewatch	0.966806	55.64	415.1	116.71754	1.847072	13.3	2013/12/09	2429/01/01
C/2013 UQ4	Catalina (CSS)	0.9821538	60.572	471.43	145.25856	1.08097487	11.4	2014/07/05	2485/12/09
C/2014 S3	PANSTARRS	0.977	90	900	169.321	2.049	17.7	2014/08/13	2900
C/2015 D4	Borisov	0.98907	78.8	700	77.3017	0.86168	9.4	2014/10/28	2714
C/2014 G3	PANSTARRS	0.9164	56.2	421	155.8268	4.6986	5.5	2015/02/02	2436
C/2015 F2	Polonia	0.96844	38.36	237.6	28.6937	1.210552	14.9	2015/04/28	2252/11/29
C/2016 C2	NEOWISE	0.97563	64.00	512	38.1565	1.559751	13.8	2016/04/19	2528
C/2011 KP36	Spacewatch	0.872862	38.4077	238.03	18.985920	4.883081	7.3	2016/05/27	2254/06/05
C/2015 T4	PANSTARRS	0.973620	87.05	812.2	87.91718	2.296376	7.0	2016/06/18	2828
C/2016 A8	LINEAR	0.94635	35.06	207.6	148.21184	1.881129	10.3	2016/08/30	2224
C/2016 R3	Borisov	0.9955	99.849	997.76	53.067	0.4468	18.1	2016/10/10	3014
C/2017 C2	PANSTARRS	0.9753	98.414	976.33	118.584	2.431	12	2017/01/21	2993
C/2017 A3	Elenin	0.911	43.35	285.45	98.5	3.8545	9.7	2017/01/30	2302
C/2017 A1	PANSTARRS	0.974	90	800	49.81	2.290	13.1	2017/05/17	2800
C/2018 E1	ATLAS	0.9504	54.5634	403.05	72.4796	2.7055	11.7	2018/4/17	2421
C/2019 J1	Lemmon	0.96551	71.8650	609.24	24.5502	2.4788	11.8	2019/04/09	2628
C/2019 A9	PANSTARRS	0.9633	38.8574	242.22	84.3402	1.4264	9.0	2019/07/26	2261
C/2020 B2	Lemmon	0.959	67.88	559.27	55.704	2.768	17.2	2020/01/26	2579
C/2020 K4	PANSTARRS	0.9604	44.7795	299.66	125.907	1.7723	16.9	2020/03/06	2320
C/2019 Y4-D	ATLAS	0.996	62.25	491.16	45.88	0.25	13.5	2020/05/31	2511
C/2020 Q1	Borisov	0.97768	58.920	452.28	142.924	1.315	11.7	2020/08/14	2501
C/2020 M3	ATLAS	0.9529	26.9158	139.64	23.474	1.268	13.8	2020/10/25	2160
C/2020 U3	Rankin	0.96477	64.61	519.34	30.177	2.2762	11.9	2021/02/05	2540
C/2020 R4	ATLAS	0.98930	96.1001	942.09	164.463	1.0284	16.0	2021/03/01	2963
