From: horizons@ssd.jpl.nasa.gov (Horizons Ephemeris System)
Subject: [Horizons] MAJOR BODY #C(500@10)_T(599) (1/1)
Date: February 4, 2021 at 12:05:44 PM PST

Automated mail xmit by PORT_LOGIN, PID= 21456 Thu Feb  4 12:05:44 2021
++++++++++++++++++++++++++++++++ (part 1 of 1)  +++++++++++++++++++++++++++++++
*******************************************************************************
Ephemeris / PORT_LOGIN Thu Feb  4 12:05:15 2021 Pasadena, USA    / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup357_merged}
Center body name: Sun (10)                        {source: jup357_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2042-Jan-01 00:00:00.0000 TDB
Step-size       : 20160 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : AU-D
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
           JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
2464378.500000000, A.D. 2035-Feb-20 00:00:00.0000,  4.613414424963922E+00,  1.802745019917922E+00, -1.107038263216608E-01,
2464392.500000000, A.D. 2035-Mar-06 00:00:00.0000,  4.572576502683844E+00,  1.905731681259480E+00, -1.102182918783794E-01,
2464406.500000000, A.D. 2035-Mar-20 00:00:00.0000,  4.529557623798050E+00,  2.007809351849032E+00, -1.096801474692230E-01,
2464420.500000000, A.D. 2035-Apr-03 00:00:00.0000,  4.484379047285118E+00,  2.108929192803729E+00, -1.090896881390891E-01,
2464434.500000000, A.D. 2035-Apr-17 00:00:00.0000,  4.437062721305424E+00,  2.209043311278173E+00, -1.084472330545193E-01,
2464448.500000000, A.D. 2035-May-01 00:00:00.0000,  4.387631969829050E+00,  2.308104958795961E+00, -1.077531201961674E-01,
2464462.500000000, A.D. 2035-May-15 00:00:00.0000,  4.336111838271357E+00,  2.406068314431963E+00, -1.070076946485721E-01,
2464476.500000000, A.D. 2035-May-29 00:00:00.0000,  4.282528902634648E+00,  2.502887834305688E+00, -1.062113273228049E-01,
2464490.500000000, A.D. 2035-Jun-12 00:00:00.0000,  4.226910788365783E+00,  2.598517986265004E+00, -1.053644403719952E-01,
2464504.500000000, A.D. 2035-Jun-26 00:00:00.0000,  4.169285628730654E+00,  2.692913663013174E+00, -1.044675020315750E-01,
2464518.500000000, A.D. 2035-Jul-10 00:00:00.0000,  4.109682083534787E+00,  2.786030845382009E+00, -1.035210060978052E-01,
2464532.500000000, A.D. 2035-Jul-24 00:00:00.0000,  4.048129932770498E+00,  2.877826882412570E+00, -1.025254631250161E-01,
2464546.500000000, A.D. 2035-Aug-07 00:00:00.0000,  3.984660538887524E+00,  2.968260360218455E+00, -1.014813906819843E-01,
2464560.500000000, A.D. 2035-Aug-21 00:00:00.0000,  3.919306675997530E+00,  3.057290501530585E+00, -1.003893187341760E-01,
2464574.500000000, A.D. 2035-Sep-04 00:00:00.0000,  3.852102071709287E+00,  3.144876727388155E+00, -9.924981889897899E-02,
2464588.500000000, A.D. 2035-Sep-18 00:00:00.0000,  3.783080807924138E+00,  3.230978924850664E+00, -9.806350503308719E-02,
2464602.500000000, A.D. 2035-Oct-02 00:00:00.0000,  3.712277196196184E+00,  3.315558097295950E+00, -9.683101341772564E-02,
2464616.500000000, A.D. 2035-Oct-16 00:00:00.0000,  3.639726297609124E+00,  3.398576720734856E+00, -9.555299059980911E-02,
2464630.500000000, A.D. 2035-Oct-30 00:00:00.0000,  3.565464534350117E+00,  3.479998657102423E+00, -9.423008995139130E-02,
2464644.500000000, A.D. 2035-Nov-13 00:00:00.0000,  3.489529661205459E+00,  3.559788650877312E+00, -9.286296869279163E-02,
2464658.500000000, A.D. 2035-Nov-27 00:00:00.0000,  3.411960379540199E+00,  3.637911759750033E+00, -9.145231891581986E-02,
2464672.500000000, A.D. 2035-Dec-11 00:00:00.0000,  3.332795753327408E+00,  3.714333475730140E+00, -8.999887729296824E-02,
2464686.500000000, A.D. 2035-Dec-25 00:00:00.0000,  3.252074953102222E+00,  3.789020358526784E+00, -8.850340848783060E-02,
2464700.500000000, A.D. 2036-Jan-08 00:00:00.0000,  3.169837651596325E+00,  3.861940507435906E+00, -8.696668885187080E-02,
2464714.500000000, A.D. 2036-Jan-22 00:00:00.0000,  3.086124673031729E+00,  3.933063546385402E+00, -8.538950544621250E-02,
2464728.500000000, A.D. 2036-Feb-05 00:00:00.0000,  3.000978086391030E+00,  4.002360253030683E+00, -8.377264754738967E-02,
2464742.500000000, A.D. 2036-Feb-19 00:00:00.0000,  2.914440810937255E+00,  4.069801939240123E+00, -8.211693002945668E-02,
2464756.500000000, A.D. 2036-Mar-04 00:00:00.0000,  2.826556021526108E+00,  4.135360419573225E+00, -8.042320927248538E-02,
2464770.500000000, A.D. 2036-Mar-18 00:00:00.0000,  2.737366749893804E+00,  4.199008588168571E+00, -7.869236820070111E-02,
2464784.500000000, A.D. 2036-Apr-01 00:00:00.0000,  2.646916136608930E+00,  4.260720969060831E+00, -7.692529485099275E-02,
2464798.500000000, A.D. 2036-Apr-15 00:00:00.0000,  2.555248079146182E+00,  4.320473747313304E+00, -7.512287938473344E-02,
2464812.500000000, A.D. 2036-Apr-29 00:00:00.0000,  2.462407510663099E+00,  4.378244447630772E+00, -7.328600691942945E-02,
2464826.500000000, A.D. 2036-May-13 00:00:00.0000,  2.368440057980351E+00,  4.434011270336507E+00, -7.141557142517775E-02,
2464840.500000000, A.D. 2036-May-27 00:00:00.0000,  2.273391496762111E+00,  4.487752842777648E+00, -6.951250051176600E-02,
2464854.500000000, A.D. 2036-Jun-10 00:00:00.0000,  2.177307286826319E+00,  4.539448675882427E+00, -6.757774779248238E-02,
2464868.500000000, A.D. 2036-Jun-24 00:00:00.0000,  2.080232714074937E+00,  4.589079763494412E+00, -6.561227205148391E-02,
2464882.500000000, A.D. 2036-Jul-08 00:00:00.0000,  1.982213518675593E+00,  4.636628710937716E+00, -6.361703219497444E-02,
2464896.500000000, A.D. 2036-Jul-22 00:00:00.0000,  1.883296353376040E+00,  4.682079489614735E+00, -6.159298621692558E-02,
2464910.500000000, A.D. 2036-Aug-05 00:00:00.0000,  1.783528534448573E+00,  4.725416865619382E+00, -5.954109465356593E-02,
2464924.500000000, A.D. 2036-Aug-19 00:00:00.0000,  1.682957524778416E+00,  4.766626020258284E+00, -5.746234883822078E-02,
2464938.500000000, A.D. 2036-Sep-02 00:00:00.0000,  1.581630409799151E+00,  4.805692923607801E+00, -5.535776913371838E-02,
2464952.500000000, A.D. 2036-Sep-16 00:00:00.0000,  1.479593898797650E+00,  4.842604997069031E+00, -5.322838268828389E-02,
2464966.500000000, A.D. 2036-Sep-30 00:00:00.0000,  1.376894876681840E+00,  4.877351370543529E+00, -5.107521150197339E-02,
2464980.500000000, A.D. 2036-Oct-14 00:00:00.0000,  1.273580962750773E+00,  4.909922675284538E+00, -4.889927450790326E-02,
2464994.500000000, A.D. 2036-Oct-28 00:00:00.0000,  1.169700374195577E+00,  4.940310549741655E+00, -4.670158285382338E-02,
2465008.500000000, A.D. 2036-Nov-11 00:00:00.0000,  1.065301394317463E+00,  4.968507107985427E+00, -4.448316559512133E-02,
2465022.500000000, A.D. 2036-Nov-25 00:00:00.0000,  9.604317894695116E-01,  4.994505130828196E+00, -4.224507597405670E-02,
2465036.500000000, A.D. 2036-Dec-09 00:00:00.0000,  8.551386510385525E-01,  5.018298696682888E+00, -3.998837108414918E-02,
2465050.500000000, A.D. 2036-Dec-23 00:00:00.0000,  7.494688499213378E-01,  5.039883528320117E+00, -3.771409548279454E-02,
2465064.500000000, A.D. 2037-Jan-06 00:00:00.0000,  6.434696616743719E-01,  5.059256808578867E+00, -3.542328566069988E-02,
2465078.500000000, A.D. 2037-Jan-20 00:00:00.0000,  5.371888281987982E-01,  5.076416751949410E+00, -3.311696603288206E-02,
2465092.500000000, A.D. 2037-Feb-03 00:00:00.0000,  4.306740722924008E-01,  5.091362008247651E+00, -3.079616876604474E-02,
